OTU ID	C0	C7	C15	C25	C40	HP7	HP15	HP25	HP40	LP7	LP15	LP25	LP40
OTU388	0	1 	0	1	1	1	1	1	2	1	0	0	0
OTU389	14	13 	8	10	4	14	9	4	13	12	11	8	8
OTU390	0	0 	1	0	3	0	0	0	0	0	0	1	0
OTU391	5	3 	4	4	1	5	4	7	2	1	3	0	1
OTU392	2	0 	3	1	4	0	2	2	1	0	5	4	1
OTU393	0	1 	0	0	0	0	0	0	0	1	0	0	0
OTU394	8	4 	5	3	3	6	1	3	1	2	3	4	1
OTU395	0	0 	0	0	1	0	0	0	0	0	0	0	0
OTU396	0	1 	3	1	3	2	5	5	3	0	3	0	0
OTU397	0	0 	0	0	0	0	0	0	0	0	1	0	0
OTU398	0	1 	1	0	1	1	1	1	2	1	1	1	0
OTU399	1	1 	0	0	1	0	2	0	0	1	1	0	1
OTU400	29	27 	13	18	12	40	15	29	18	14	13	29	16
OTU401	6	9 	1	2	0	12	0	1	0	6	1	2	0
OTU402	0	0 	0	0	0	0	0	0	0	0	0	0	0
OTU403	0	0 	1	0	0	0	1	0	0	0	0	0	0
OTU404	1	1 	0	0	0	2	0	0	0	0	0	0	0
OTU405	0	1 	1	0	0	1	2	1	0	0	1	1	1
OTU406	0	0 	0	1	2	0	0	1	1	0	1	0	1
OTU407	1	1 	0	2	0	1	2	0	0	0	0	2	0
OTU408	1	2 	0	1	1	0	2	1	1	4	1	0	0
OTU409	2	1 	2	2	3	0	4	1	3	2	2	0	2
OTU410	1	2 	1	0	1	2	0	0	0	1	0	0	0
OTU411	2	1 	1	0	4	0	0	0	1	1	2	0	3
OTU412	21	131 	0	0	0	32	3	0	0	230	0	1	0
OTU413	1	1 	1	5	5	2	1	1	3	0	2	4	2
OTU414	0	1 	1	0	1	1	0	0	1	0	0	1	0
OTU415	2	5 	3	6	6	4	5	3	10	5	7	6	8
OTU416	1	0 	3	0	1	0	1	0	0	0	0	0	0
OTU417	2	0 	0	1	3	0	0	1	0	0	1	1	1
OTU418	1	3 	1	1	2	4	1	1	0	1	1	0	1
OTU419	1	1 	1	1	1	2	4	4	3	0	1	2	0
OTU420	0	1 	0	0	0	1	0	0	1	0	1	1	1
OTU421	1	2 	1	2	2	1	5	1	2	2	2	0	2
OTU422	0	0 	1	1	0	0	0	0	1	0	0	0	0
OTU423	0	0 	1	0	0	0	0	0	0	0	0	0	0
OTU424	4	3 	6	5	4	3	1	0	1	2	5	4	0
OTU425	1	0 	3	3	1	0	5	4	7	0	2	4	3
OTU426	1	1 	0	1	1	0	0	1	0	1	0	0	1
OTU427	0	1 	1	1	1	0	0	0	0	1	0	0	0
OTU428	8	7 	7	4	16	6	8	10	21	8	6	10	11
OTU429	0	0 	2	1	1	0	1	4	0	0	0	0	3
