OTU ID	HP7	HP15	HP25	HP40	LP7	LP15	LP25	LP40
OTU450	2	7	5	3	3	1	3	4
OTU451	8	5	9	7	9	13	5	19
OTU452	2	3	0	1	3	0	1	2
OTU453	0	2	0	2	1	0	0	1
OTU454	0	0	0	0	0	0	0	3
OTU455	6	8	11	16	11	9	11	7
OTU456	10	1	4	4	7	6	6	4
OTU457	6	7	8	6	2	7	3	5
OTU458	0	0	0	0	0	0	0	0
OTU459	1	5	5	3	0	4	2	2
OTU460	3	0	0	0	1	1	1	2
OTU461	2	2	1	0	1	0	0	1
OTU462	8	12	4	7	1	12	10	9
OTU463	0	0	0	0	0	0	0	0
OTU464	1	2	0	5	1	1	1	1
OTU465	0	1	1	0	0	0	0	2
OTU466	4	6	2	3	2	2	2	3
OTU467	0	0	0	0	0	0	1	0
OTU468	3	2	2	1	1	3	2	0
OTU469	1	0	0	1	0	0	1	0
OTU470	1	2	0	0	0	3	1	0
OTU471	12	15	10	19	11	24	15	23
OTU472	0	0	0	1	0	0	0	0
OTU473	1	0	0	0	0	0	1	0
OTU474	1	3	1	3	1	2	2	1
OTU475	1	0	0	1	1	1	1	4
OTU476	3	2	0	1	1	0	0	0
OTU477	2	0	4	2	0	1	2	5
OTU478	4	4	6	3	0	2	1	4
OTU479	0	2	0	1	0	1	1	0
OTU480	1	0	2	1	2	3	0	3
OTU481	21	6	9	19	16	11	17	25
OTU482	0	1	1	0	0	1	0	0
OTU483	1	4	1	4	0	0	4	2
OTU484	2	7	8	4	2	2	1	3
OTU485	1	1	0	0	1	1	0	0
OTU486	0	0	0	1	0	1	0	1
OTU487	0	0	0	1	0	0	1	0
OTU488	13	8	16	3	9	3	5	12
OTU489	0	0	2	3	0	1	1	4
OTU490	2	0	2	0	2	1	2	0
OTU491	1	1	2	1	2	1	0	1
OTU492	1	1	4	1	1	2	4	1
OTU493	0	0	0	1	0	0	0	1
OTU494	0	0	0	1	0	1	1	1
OTU495	1	0	2	1	1	0	2	0
OTU496	0	1	0	0	0	1	2	0
OTU497	3	2	1	2	1	0	0	0
OTU498	2	0	0	0	0	0	0	1
OTU499	2	1	5	2	1	0	0	0
OTU500	43	25	34	19	21	27	20	25
OTU501	2	2	0	1	1	0	1	2
OTU502	0	0	0	0	1	0	0	0
OTU503	3	9	22	7	8	20	42	3
OTU504	1	1	1	0	1	5	2	0
OTU505	0	2	0	0	0	0	1	0
OTU506	0	0	0	0	1	0	0	1
OTU507	21	18	12	5	15	13	20	7
OTU508	13	11	25	17	9	11	13	10
OTU509	2	0	1	2	5	2	2	3
OTU510	0	1	1	1	0	0	0	1
OTU511	1	17	10	3	5	8	6	9
OTU512	1	0	0	2	0	0	2	0
OTU513	0	0	1	0	0	0	2	0
OTU514	2	0	0	0	0	1	0	0
OTU515	26	21	18	30	11	7	9	5
OTU516	7	4	8	11	1	4	5	13
OTU517	1	1	1	4	0	4	3	2
OTU518	4	1	2	4	5	2	4	1
OTU519	0	0	1	1	0	0	0	0
OTU520	2	1	0	0	1	0	0	0
OTU521	0	0	2	1	2	0	0	1
OTU522	0	1	1	1	0	0	0	0
OTU523	2	0	5	1	4	0	2	0
OTU524	5	4	0	0	2	0	0	0
OTU525	1	0	0	0	1	0	0	0
OTU526	14	9	8	6	4	11	8	5
OTU527	0	1	1	0	0	2	0	3
OTU528	17	7	3	3	5	4	2	3
OTU529	1	0	1	0	2	2	0	0
OTU530	10	2	10	9	9	10	5	18
OTU531	27	24	18	13	9	12	10	7
OTU532	0	0	1	0	0	1	0	0
OTU533	0	0	0	0	0	0	0	1
OTU534	3	0	0	0	3	3	2	1
OTU535	2	0	0	0	0	1	0	0
OTU536	0	2	0	0	3	2	0	0
OTU537	0	0	0	0	0	0	0	0
OTU538	0	1	0	4	0	3	1	2
OTU539	1	1	3	1	2	3	2	0
OTU540	0	1	1	0	1	1	1	2
OTU541	0	1	0	0	0	0	1	1
OTU542	0	0	1	0	0	0	0	1
OTU543	2	7	9	15	2	7	9	6
OTU544	0	1	1	0	0	0	0	0
OTU545	0	0	1	0	0	0	2	0
OTU546	2	1	1	0	1	0	0	0
OTU547	1	0	0	0	0	0	0	0
OTU548	0	0	0	1	0	1	2	0
OTU549	5	5	3	2	3	3	6	4
OTU550	0	1	1	0	2	0	0	0
OTU551	1	14	9	22	4	12	2	8
OTU552	0	0	0	0	0	2	0	0
OTU553	1	1	3	2	3	0	0	3
OTU554	0	0	1	0	0	0	1	2
OTU555	0	2	0	3	1	2	0	3
OTU556	0	0	1	2	1	1	2	1
OTU557	4	0	1	0	0	0	3	0
OTU558	0	2	0	2	1	0	2	0
OTU559	1	1	0	0	0	0	0	1
OTU560	0	3	0	1	0	0	1	1
OTU561	1	0	1	1	1	1	0	0
OTU562	0	0	0	0	1	0	1	1
OTU563	0	3	1	0	0	0	0	1
OTU564	0	0	0	0	0	0	0	1
OTU565	2	0	0	0	0	2	0	1
OTU566	1	1	2	0	0	0	1	1
OTU567	3	5	2	1	2	0	3	2
OTU568	0	0	1	0	0	0	0	0
OTU569	1	3	1	2	1	3	1	1
OTU570	1	1	1	0	0	1	1	0
OTU571	4	4	6	4	0	1	7	7
OTU572	5	3	0	0	4	3	1	0
OTU573	0	2	2	0	0	3	1	1
OTU574	10	5	0	1	6	1	0	0
OTU575	0	0	1	1	0	1	1	0
OTU576	0	0	1	0	0	1	0	0
OTU577	4	3	1	0	2	0	0	0
OTU578	0	0	0	0	0	0	0	2
OTU579	0	1	0	1	1	1	3	1
OTU580	0	2	3	1	0	1	2	0
OTU581	1	1	5	1	1	0	0	0
OTU582	2	3	6	1	1	3	1	3
OTU583	0	0	0	0	0	0	0	1
OTU584	2	0	0	1	0	1	0	0
OTU585	1	1	0	0	0	0	0	0
OTU586	0	0	0	0	0	0	0	1
OTU587	0	1	0	0	0	0	0	0
OTU588	0	0	0	0	0	1	0	1
OTU589	2	2	1	2	2	1	0	0
OTU590	27	47	27	39	28	42	44	54
OTU591	4	2	2	1	2	1	1	3
OTU592	0	1	2	0	0	0	0	1
OTU593	10	1	6	7	5	5	4	10
OTU594	0	0	1	0	0	0	0	0
OTU595	0	0	0	1	0	0	0	0
OTU596	0	0	0	0	1	0	2	0
OTU597	9	25	30	27	25	30	9	40
OTU598	1	1	1	0	1	0	0	0
OTU599	0	0	0	1	0	0	0	0
OTU600	22	21	31	59	11	16	25	49
OTU601	0	0	2	0	0	1	0	1
OTU602	0	1	0	1	0	0	1	4
OTU604	0	0	0	0	0	0	0	0
OTU605	0	0	0	1	0	0	0	0
OTU606	2	1	3	0	0	0	0	4
OTU607	6	11	12	11	2	9	20	18
OTU608	2	1	0	0	0	2	1	0
OTU609	0	1	2	0	0	1	1	2
OTU610	0	1	1	1	0	2	0	1
OTU611	1	3	5	5	5	9	7	4
OTU612	0	0	0	0	0	0	0	1
OTU613	10	13	15	14	9	12	16	9
OTU614	0	0	1	1	0	0	1	2
OTU615	0	0	0	1	0	0	1	0
OTU616	0	1	0	3	0	2	0	1
OTU617	0	1	0	0	0	0	0	0
OTU618	0	0	0	0	1	0	0	0
